views,contacts,last_7_views,last_3_views,last_7_contacts,last_3_contacts,live_days,max_messages_events,messages_events,messages_users,avg_contacts_delta,max_contacts_delta,min_contacts_delta,mumur_advertid,AB_test_group,is_selling_3
72,0,19,7,0,0,15,1,1,1,0.0,0,0,1228156847,0,0
2040,20,252,87,6,5,27,2,14,12,0.0,0,0,1111412596,1,1
4105,56,757,223,10,3,39,3,19,17,0.0,0,0,2292183779,1,0
4568,39,854,236,7,3,41,3,29,23,-0.17,2,-2,772897149,1,1
56,3,56,10,3,4,7,0,0,0,0.0,2,-1,1598865363,1,1
353,3,276,83,2,1,11,2,9,8,0.17,3,-3,873905602,1,0
156,0,156,43,0,1,8,1,2,2,0.0,0,0,3657602018,1,1
32,0,32,32,0,1,2,1,1,1,0.0,0,0,1503201697,1,0
638,30,638,638,30,31,2,2,11,10,0.0,23,-16,2418971295,1,1
508,10,508,138,10,3,8,2,4,3,-0.17,1,-1,194571672,1,0
103,6,103,103,6,6,1,1,1,1,0.0,6,-6,2187538298,0,1
38,2,38,38,2,3,2,0,0,0,0.0,2,-2,3879298654,1,1
504,7,504,504,7,7,2,1,4,4,0.0,3,-4,4044587327,0,1
4546,58,686,183,17,9,21,4,69,52,0.0,0,0,2387755422,1,0
1545,39,274,109,11,8,41,6,40,24,0.0,0,0,41363287,1,1
1226,20,41,6,2,0,29,2,14,13,0.0,0,0,2224452219,0,0
423,1,423,136,1,1,8,1,1,1,0.0,0,0,98156969,1,0
139,7,139,45,7,1,7,1,2,2,-0.5,3,-3,2464695113,1,0
175,0,175,38,0,0,8,1,1,1,0.0,0,0,936258283,0,0
730,9,223,63,4,1,22,1,8,8,0.0,1,-1,4155225328,0,0
8019,27,978,415,1,2,41,3,75,58,0.0,1,-2,1283158815,1,0
28,1,28,7,1,1,8,0,0,0,0.0,1,-1,2866446971,1,0
508,10,508,138,10,3,8,2,4,3,-0.17,1,-1,3686751074,1,0
671,7,234,107,4,3,27,2,10,9,0.0,2,-2,82777008,0,1
279,10,279,279,10,11,3,4,7,4,-0.33,2,-4,2101467264,1,0
92,4,92,32,4,1,8,1,1,1,0.0,1,-1,1658597956,0,0
224,8,224,40,8,4,8,1,6,6,0.0,1,-1,2030751320,1,0
928,11,532,223,9,7,12,1,3,3,0.0,0,0,2154592570,0,1
136,4,17,8,0,0,38,1,2,2,0.0,0,0,2340172409,0,0
346,6,346,112,6,0,8,3,9,6,-0.17,1,-2,2005095813,0,0
50,0,50,8,0,1,8,0,0,0,0.0,0,0,3866958504,1,0
1195,31,1195,1195,31,31,2,4,40,24,0.0,0,0,1560384256,0,1
211,17,211,211,17,17,2,2,6,5,0.0,0,0,2900498037,0,0
255,4,255,86,4,3,7,1,4,4,0.0,2,-2,1667285007,0,1
577,25,167,37,6,3,16,9,25,13,0.0,0,0,912030520,1,0
259,2,259,86,2,1,8,1,2,2,0.0,0,0,1691770748,1,0
744,5,744,265,5,4,8,3,12,8,-0.33,2,-2,3147406044,0,0
528,21,527,122,21,6,8,2,12,10,-0.17,3,-3,3737859339,0,0
1505,60,872,142,34,9,9,5,47,32,0.0,0,0,643344382,0,1
242,5,242,114,5,2,5,3,8,4,-0.67,1,-4,216773340,1,0
171,0,171,38,0,0,8,1,2,2,0.0,0,0,3894443076,0,0
379,12,269,80,12,1,11,3,13,10,0.0,0,0,1403542527,1,0
174,10,174,174,10,11,1,1,5,5,0.0,10,-10,2511586864,1,1
873,6,617,303,5,4,11,1,8,8,0.0,1,-2,2285374435,1,1
133,0,133,133,0,1,1,1,1,1,0.0,0,0,301528521,1,1
107,0,107,32,0,0,8,0,0,0,0.0,0,0,3551089366,0,0
673,12,471,259,12,11,16,1,14,14,0.0,6,-5,3255092681,0,1
502,7,367,105,6,3,9,1,6,6,0.0,2,-2,1741606902,1,0
367,1,367,85,1,0,8,1,3,3,0.0,0,0,889865989,0,0
340,1,340,76,1,1,8,3,8,6,0.0,0,0,4058927250,1,0
64,3,64,7,3,1,7,1,1,1,-0.17,0,-1,2991178578,1,1
217,5,105,25,3,3,12,1,2,2,0.0,2,-2,600807351,1,0
1470,19,1470,540,19,12,7,2,6,3,0.0,0,0,2042270456,1,0
70,1,70,12,1,0,8,2,3,2,0.0,0,0,2445408100,0,0
86,4,86,34,4,1,8,1,2,2,0.0,0,0,3102922157,1,0
185,1,185,54,1,2,8,2,3,2,0.0,0,0,424794893,1,0
1767,13,1767,1767,13,14,3,3,22,19,0.0,0,0,1540694988,1,1
124,6,124,42,6,7,8,1,2,2,0.0,4,-4,758542688,1,0
2568,58,1410,817,29,24,14,3,45,32,0.0,0,0,3472546598,1,1
436,17,189,79,10,8,21,5,15,9,0.0,4,-3,1495087282,1,1
2581,33,525,193,20,13,38,2,19,17,0.0,0,0,936336721,0,0
275,15,275,275,15,15,2,2,5,4,0.0,15,-15,2751021654,0,1
200,4,200,67,4,1,9,4,7,4,0.0,4,-4,4241810344,1,0
2490,71,1044,343,22,6,16,4,42,29,0.0,0,0,4176203785,0,0
688,36,688,277,36,23,8,3,21,15,0.0,0,0,2984706437,1,0
204,3,204,42,3,1,8,1,1,1,0.0,1,-1,3099337194,0,0
670,16,670,198,16,5,8,1,6,6,-0.17,1,-2,4258560016,0,0
357,12,357,54,12,4,8,2,19,15,0.0,0,0,3419067265,0,0
222,23,222,72,23,6,8,2,7,6,-0.33,1,-1,2191564717,1,0
348,18,189,38,15,3,15,2,6,4,0.0,2,-1,3038280955,0,0
371,1,371,141,1,2,7,1,2,2,0.17,1,0,2992579607,1,1
66,0,66,66,0,1,2,1,2,2,0.0,0,0,3618549601,1,1
1784,20,419,126,9,3,20,3,15,12,-0.17,2,-2,3813233153,1,0
152,0,152,42,0,0,8,0,0,0,0.0,0,0,2887088801,0,1
155,2,155,56,2,1,8,1,2,2,0.0,1,-1,944506373,0,0
29,0,29,4,0,0,8,1,2,2,0.0,0,0,3812705815,0,0
77,2,77,77,2,3,1,0,0,0,0.33,2,0,1477068714,1,1
425,17,425,425,17,17,4,3,12,10,0.0,8,-6,1849872295,0,0
3459,122,700,262,25,14,38,11,95,58,-0.67,6,-6,3435048714,1,0
1301,37,1301,456,37,11,8,3,52,44,0.0,0,0,4219697549,0,0
173,11,173,57,11,2,8,1,1,1,0.0,1,-1,4274711571,1,0
80,4,80,80,4,4,1,0,0,0,0.0,4,-4,1436538743,0,1
10,2,10,2,2,1,8,0,0,0,0.0,2,-2,216074250,1,0
173,11,173,57,11,1,8,1,1,1,0.0,1,-1,1751392638,0,0
874,4,240,43,0,1,16,5,15,10,0.0,0,0,1989486416,1,0
671,7,234,107,4,3,27,2,10,9,0.0,2,-2,1326775986,0,1
75,3,75,47,3,3,5,0,0,0,0.0,2,-2,1367590607,1,1
264,11,264,163,11,12,6,1,3,3,0.0,3,-3,198325113,1,1
227,4,197,47,4,2,9,3,4,2,0.0,2,-1,3914133078,0,0
1166,6,158,43,0,0,37,1,3,3,0.0,0,0,2679219866,0,0
1044,5,274,63,1,1,19,2,5,4,0.0,0,0,4138420721,1,0
775,41,383,97,18,6,16,2,30,24,0.0,0,0,1369087681,1,1
3612,57,599,216,12,3,39,5,77,48,0.0,0,0,919021588,0,1
79,3,79,79,3,3,1,0,0,0,0.5,3,0,1842076352,0,0
320,15,320,320,15,16,4,2,13,11,0.0,0,0,1459536347,1,1
1554,8,328,66,2,0,18,4,40,25,0.0,2,-2,837335797,0,0
485,0,163,45,0,1,13,1,3,3,0.0,0,0,2579902830,1,0
27,5,27,27,5,6,3,0,0,0,0.17,4,-3,1257903044,1,1
349,9,154,54,4,1,15,1,3,3,0.0,1,-1,1752084234,0,0
92,4,92,32,4,1,8,1,1,1,0.0,1,-1,566133359,0,0
3406,7,834,253,2,2,25,2,22,16,0.0,0,0,3132311408,1,0
4502,38,454,176,6,5,37,5,39,26,0.33,2,-1,2707477679,1,0
474,1,474,136,1,1,8,0,0,0,-0.17,0,-1,776856639,1,0
2052,28,2052,1524,28,18,6,3,21,16,-0.67,0,-4,1810537320,0,0
825,6,619,366,5,0,10,4,27,19,0.0,0,0,3015026973,0,1
1075,70,1075,900,70,63,5,2,15,14,0.0,0,0,2621828037,1,1
4687,141,633,97,14,1,38,8,105,66,0.0,0,0,2163579885,0,0
398,3,185,56,1,1,16,2,4,2,0.0,1,-1,3355338467,0,0
31,0,31,3,0,1,8,3,4,2,0.0,0,0,753656451,1,0
202,6,202,202,6,6,3,2,3,2,-0.17,3,-4,3769550322,0,1
1976,25,162,88,2,2,43,4,24,19,0.0,2,-2,1290623928,0,0
227,4,197,47,4,2,9,3,4,2,0.0,2,-1,1616535758,0,0
365,26,365,110,26,9,8,2,9,8,0.0,3,-3,2151403590,0,0
551,9,370,135,4,0,14,4,17,12,-0.33,2,-2,1082072564,0,0
1431,64,1431,939,64,50,5,3,24,17,0.0,0,0,2320318811,0,1
1311,11,1311,273,11,5,8,2,20,18,0.0,0,0,3869130724,1,1
78,5,78,24,5,1,8,2,11,10,0.0,1,-1,3483595350,1,0
1146,65,439,164,15,8,14,4,40,28,0.0,0,0,1359516283,1,1
166,1,166,54,1,1,7,0,0,0,0.0,0,0,1248288364,1,0
3087,62,917,258,22,11,42,8,41,21,0.0,0,0,2045088881,0,1
423,1,423,136,1,1,8,1,1,1,0.0,0,0,1338547810,1,0
3333,27,243,33,1,1,23,3,31,23,0.0,1,-1,861442715,1,0
381,6,180,78,5,5,16,4,7,3,0.0,4,-4,372739565,1,0
957,18,957,294,18,6,8,2,6,5,0.0,0,0,2528427729,0,0
221,11,221,221,11,11,2,2,7,6,-0.33,7,-9,3120629458,0,1
155,2,155,56,2,1,8,1,2,2,0.0,1,-1,418395242,0,0
1173,25,476,125,12,3,16,1,6,6,0.0,2,-2,3496708790,1,0
95,0,95,36,0,1,8,0,0,0,0.0,0,0,2784819169,1,0
1229,33,1229,466,33,2,8,7,91,62,0.0,0,0,436008907,0,0
